default,age,acadmos,adepcnt,majordrg,minordrg,ownrent,income,selfempl,incper,exp_inc,spending
0,46,4,3,0,0,0,4766.666667,0,15752,0.0643571,306.7686749
0,39.5,28,0,0,0,1,8333.25,1,99999,0.0657949,548.2849784
0,24.083334,12,0,0,0,0,1833.333333,0,49000,0.1381851,253.3393477
0,37.1666679,3,4,0,0,0,2583.333333,0,8600,0.0422437,109.1296077
0,50.5,66,1,0,0,1,1906.666667,0,18940,0.0032458,6.188613
0,37.1666679,33,2,0,0,1,2916.666667,0,11666.66699,0.0461697,134.6616633
0,31.666666,24,1,0,0,1,1666.666667,0,10000,0.0487515,81.2524992
0,45.8333321,25,4,0,1,1,5833.333333,0,20000,0.00679,39.6083334
1,21,6,1,0,0,1,1583.333333,0,9500,0.04506,71.3450021
0,24.166666,5,1,0,0,0,2250,0,13500,0.0594037,133.6583393
1,35.25,115,2,0,0,1,1333.333333,0,7833.333496,0.022386,29.8479448
0,40.5,18,2,0,0,1,2725,0,10900,0.0497128,135.4674903
0,33.8333321,36,1,0,1,1,1666.666667,0,10000,0.4820855,803.475827
0,25.833334,3,1,0,0,0,1833.333333,0,11000,0.011,20.1666666
0,53.9166679,134,2,0,0,1,3081.166667,0,19908,0.0940682,289.8398463
0,54.9166679,66,2,0,0,1,4166.666667,0,20000,0.0018833,7.8472222
0,32.8333321,11,0,0,0,1,2966.666667,0,35600,0.0405882,120.4116713
0,28.916666,3,1,0,0,0,2000,0,12000,0.0274692,54.938335
0,48.6666679,20,3,0,0,1,3750,0,11250,0.1935104,725.6641611
0,34.25,12,0,0,0,1,1666.666667,0,20000,0.131112,218.5199906
0,46.25,180,3,0,0,1,2666.666667,0,12375,0.0566475,151.0599355
0,35.75,18,2,1,0,0,3333.333333,0,13333.33301,0.0511923,170.6408337
0,24.416666,24,0,0,0,0,1400,0,19800,0.1314172,183.9840382
0,44.3333321,34,3,0,0,1,3083.333333,0,19500,0.0372758,114.933632
0,28.333334,20,0,0,0,0,2916.666667,0,35000,0.0892071,260.1874992
0,27.166666,28,2,0,0,0,2658.333333,0,10633.33301,0.0799326,212.4874957
0,44.4166679,49,3,0,0,1,8333.25,0,31249.75,0.0874047,728.3652007
0,52.25,59,1,0,0,1,3633.333333,0,21800,0.0736626,267.6408393
0,61.9166679,37,1,0,0,1,3750,0,22500,0.0027778,10.4166669
0,42.6666679,13,2,0,0,1,4283.333333,0,17133.33398,0.0089494,38.3333348
0,36.8333321,78,2,0,0,1,4583.333333,0,20333.33398,0.0711549,326.1266928
0,34.8333321,54,0,0,0,0,3166.666667,0,38000,0.0201997,63.9658325
0,31.583334,15,1,0,0,0,2016.666667,0,14600,0.0725808,146.371324
0,47.25,52,2,0,0,1,4166.666667,0,16666.66602,0.0022,9.1666666
0,30.25,38,2,0,1,0,1500,0,15020,0.1337421,200.6131858
0,27.416666,6,0,0,0,0,2500,0,30000,0.0120167,30.0416676
0,35.1666679,86,3,0,0,1,1000,0,10500,0.00429,4.2899996
0,40.9166679,132,3,0,0,1,6000,0,20250,0.0445923,267.554082
0,52.0833321,180,0,0,0,1,2000,0,34900,0.0031519,6.3037248
0,47,120,2,0,0,1,4166.666667,1,16666.66602,0.0319992,133.3300024
1,26.083334,24,2,0,0,1,1537.166667,0,6815.333496,0.0128764,19.7931067
0,40.1666679,95,2,0,0,0,3033.333333,0,17988.33398,0.0050403,15.2889215
0,37,51,1,0,0,1,1833.333333,0,11000,0.0005455,1
0,42.1666679,13,1,0,0,0,3333.333333,0,20000,0.0781708,260.5691801
0,37.9166679,108,3,0,0,1,3083.333333,0,9250,0.1715378,528.9083136
0,45.0833321,16,2,0,0,1,4066.666667,0,16266.66699,0.0105123,42.7500004
0,26.166666,11,2,0,0,1,2397.083333,0,14117,0.1071148,256.7631538
0,30.25,96,4,0,0,1,3333.333333,0,10496,0.0147513,49.1711125
0,41.1666679,60,1,1,0,1,1333.333333,0,11750,0.774177,1032.23602
0,36.5833321,4,3,0,0,1,4166.666667,0,18500,0.0743728,309.8868144
0,24,66,0,0,0,0,1083.333333,0,15000,0.3269067,354.1488722
0,37.1666679,96,4,0,0,1,2500,0,6000,0.0444127,111.0316627
0,26.75,4,0,0,0,0,3000,0,36000,0.0598975,179.6924919
0,40.5,16,3,0,0,1,5912,0,17736,0.515883,3049.900112
0,38.3333321,4,0,0,0,1,2916.666667,0,55000,0.0384807,112.2354483
0,28.25,53,0,0,0,0,1666.666667,0,20000,0.2099155,349.8591731
1,35.4166679,27,2,0,0,1,2083.333333,0,8333.333008,0.0742468,154.6808363
0,40.5,1,0,0,0,1,2916.666667,0,35000,0.1792123,522.7024605
0,55,302,1,0,0,1,3713.5,0,25281,0.0226316,84.0425245
0,39.5833321,168,3,1,1,1,2500,0,7500,0.0896717,224.1791598
0,52.1666679,216,0,0,0,1,1291.666667,0,15500,0.0696206,89.9266684
0,37.25,105,0,0,0,0,1941.666667,0,23300,0.1139695,221.290832
0,32.5833321,11,0,0,1,0,1316.666667,0,15800,0.1207709,159.0149908
0,27.083334,26,0,1,0,1,2080,0,24960,0.0004808,1
0,22.25,64,0,0,0,0,1250,0,15000,0.058608,73.259999
0,46.6666679,203,3,0,0,1,2333.333333,0,7000,0.0223225,52.0858336
0,28.416666,18,0,0,0,1,1583.333333,0,19000,0.0290079,45.929167
0,37.5833321,13,4,0,0,1,6250,0,30000,0.0850949,531.8429321
0,26.416666,9,0,0,0,0,2000,0,24000,0.1064675,212.9350007
0,24.333334,4,1,0,0,1,2083.333333,0,17250,0.0623652,129.9275318
0,47.5833321,171,2,0,0,1,2916.666667,0,11666.66699,0.0337897,98.5533294
0,40,74,4,0,0,1,4583.333333,0,11000,0.3344596,1532.939983
0,25.25,11,0,0,0,0,2000,0,24000,0.0857513,171.5025008
0,38.9166679,18,0,0,1,1,1275,0,15300,0.0825908,105.3033315
0,40.9166679,36,1,0,0,0,2600,0,15600,0.2007455,521.938321
0,21.833334,9,0,0,0,0,844.6666667,0,20272,0.0253201,21.3870819
0,34.75,152,2,0,0,0,1173.916667,0,7815.666504,0.0207366,24.3429871
1,44.1666679,24,1,0,0,1,1666.666667,0,10000,0.080752,134.586667
0,33.4166679,41,2,0,0,1,5984,0,30464,0.0812903,486.4409602
0,31.5,48,0,0,3,1,1914.916667,0,25479,0.0281016,53.8121736
0,40.6666679,56,2,0,0,1,1674.833333,0,8914.333008,0.0364802,61.0982542
0,25.916666,4,1,0,0,1,1360,0,8160,0.0080876,10.9991659
0,30.5,14,0,0,0,0,2125,0,25500,0.0539831,114.7141661
0,29,37,3,0,0,1,2000,1,6000,0.0172075,34.4149992
0,39.3333321,72,4,0,0,1,3416.666667,0,8200,0.0395707,135.2000075
0,49.25,73,0,0,0,1,1430,0,32160,0.0003731,0.5335821
0,33.4166679,5,0,1,0,0,3845.833333,0,46150,0.0061746,23.7466678
0,20.583334,18,0,0,0,0,1250,0,16800,0.0719935,89.9918191
0,28.083334,13,1,0,0,0,2500,0,15000,0.136515,341.2874788
0,36.9166679,15,3,0,1,0,2541.666667,0,7625,0.2594213,659.3625185
0,28.083334,63,2,0,0,1,3550,0,14200,0.0367878,130.5966653
0,24.166666,7,0,0,0,0,1666.666667,0,20000,0.0468535,78.0891627
0,44,110,2,0,0,1,2166.666667,1,15000,0.0151858,32.902517
0,46.1666679,106,0,1,0,1,2500,0,30000,0.0036667,9.1666664
0,46.25,168,6,2,0,1,8333.25,1,28571.14258,0.095441,795.3333297
1,30.916666,24,0,0,0,0,1625,0,19500,0.0006154,1
0,23.083334,25,0,0,0,1,1493.75,0,23825,0.0140844,21.0385205
0,29.416666,14,0,1,0,0,2666.666667,0,32000,0.1567194,417.9183245
0,33.5833321,36,0,0,0,0,2718,0,32616,0.0717718,195.0758348
0,28.916666,12,0,0,0,0,1250,0,15000,0.2987053,373.3816743
0,26,2,1,0,0,0,4166.666667,0,25000,0.0664772,276.9883412
0,31.083334,24,0,0,0,0,1666.666667,0,20000,0.186444,310.739999
0,35,28,1,0,0,1,2916.666667,1,17500,0.0123831,36.1175016
0,49.1666679,111,1,1,0,0,3041.666667,0,21900,0.0423048,128.6770855
0,41,84,2,0,0,1,8333.25,0,49999.66797,0.0194637,162.1955774
0,33.4166679,84,3,1,1,1,1213.333333,0,11140,0.0195772,23.7536688
0,24.916666,20,0,0,0,0,1750,0,21000,0.0219071,38.3375008
0,25.75,6,0,0,0,0,1487.5,0,17850,0.1427473,212.3366721
1,33.0833321,39,3,0,0,1,4200,0,14100,0.0881789,370.351392
0,25.416666,12,0,0,0,0,1600,0,43200,0.0482521,77.2033393
0,25.916666,12,0,0,0,0,2675,0,32500,0.1556831,416.4522134
0,25.416666,1,0,0,0,0,2333.333333,0,28000,0.0438939,102.419169
0,26.5,30,0,0,0,1,1666.666667,0,21600,0.0523829,87.3047796
0,25.583334,12,0,0,0,0,1341.666667,0,16100,0.1224876,164.3374962
1,24.5,36,0,0,0,0,1333.333333,0,17000,0.006,8
0,21.416666,6,0,0,0,0,1583.333333,0,20500,0.7114429,1126.451333
0,24.25,18,0,0,0,0,2083.333333,0,25000,0.0120616,25.1283326
0,74.6666641,0,0,0,0,1,1041.666667,0,72500,0.0082223,8.564942
0,39.75,86,0,1,0,1,2750,0,33000,0.0956394,263.0083505
0,25.083334,24,0,0,0,0,1300,0,30800,0.1454442,189.0774012
0,27.333334,24,0,0,0,1,1250,0,15360,0.3088633,386.0791028
0,28.166666,60,0,0,0,1,2583.333333,0,39000,0.0430769,111.2820466
1,27.75,24,1,0,0,0,1600,0,10100,0.0023267,3.7227724
0,20.5,48,0,0,0,0,1000,0,16800,0.0376107,37.6107134
0,26,48,0,0,0,0,1675,0,20100,0.0958577,160.5616761
0,21.416666,7,0,0,0,0,1375,0,16500,0.1797782,247.1950091
0,63.9166679,108,0,0,0,1,1666.666667,0,32500,0.0177923,29.6538447
0,20.333334,17,0,0,0,1,1300,0,15600,0.0279487,36.3333341
1,22.25,31,0,0,0,0,1416.666667,0,17000,0.2503335,354.6391502
0,21,12,1,0,0,1,1641.666667,0,12331.5,0.2689328,441.4980451
0,33.1666679,6,1,0,0,0,2191.666667,0,13150,0.0532144,116.628335
0,30.166666,36,3,0,0,1,2250,0,8250,0.1500785,337.6766033
0,28.583334,63,0,1,0,1,4166.666667,0,50000,0.1928356,803.4816633
0,23.833334,12,0,0,1,0,2250,0,30000,0.0890157,200.285241
0,46.3333321,86,0,0,0,1,1666.666667,1,37188,0.0025277,4.2128284
0,30.5,29,0,0,3,1,2666.666667,0,32000,0.0465275,124.0733365
0,36.4166679,58,4,0,0,1,2500,0,6000,0.0776663,194.165837
1,39.3333321,16,3,0,0,1,2500,0,8750,0.0323143,80.7857141
0,24.583334,6,1,0,0,1,1720,0,10670,0.024313,41.8184065
0,37.9166679,12,1,0,0,1,7916.666667,0,47500,0.0689429,545.7982887
0,30.833334,135,0,0,0,1,2916.666667,0,35000,0.0270229,78.8166669
1,27.5,36,3,0,0,1,1303.333333,0,6410,0.0649852,84.6973492
0,31.666666,14,3,0,0,1,1841.666667,0,9275,0.2415216,444.802192
1,37.25,8,0,0,0,0,1250,0,15000,0.062092,77.6149984
0,28.666666,12,0,0,0,0,3333.333333,0,40000,0.0286772,95.5908311
0,21.75,2,0,0,0,0,1516.666667,0,18200,0.0389077,59.0100049
0,24.333334,6,0,0,1,0,1500,0,18000,0.1048272,157.2408378
0,25.333334,18,0,0,0,0,1700,0,20400,0.1580701,268.719174
0,43.0833321,120,2,1,1,1,5166.666667,0,20666.66602,0.0352484,182.1166693
0,36.25,142,3,1,1,1,3000,0,9000,0.2668289,800.4866838
0,68.3333359,30,0,0,0,0,833.3333333,0,18125,0.0837705,69.8087364
0,27.833334,12,0,0,0,0,2250,0,39000,0.3784131,851.4293656
0,42.8333321,108,6,0,1,1,2951,0,5058.856934,0.1834562,541.3791505
1,30.25,24,2,0,0,0,998.6666667,0,7946.666504,0.0033977,3.3931208
0,36.5833321,36,1,0,0,1,2375,0,28500,0.1197419,284.3870874
1,41.0833321,72,2,0,0,1,1275,0,5100,0.0850699,108.4641634
0,21.916666,24,0,0,0,0,1875,0,22500,0.0573044,107.4458356
1,41.9166679,24,1,0,0,0,1750,0,16875,0.0427034,74.7309653
0,27.75,24,1,1,1,0,2500,0,15000,0.0997167,249.2916584
0,23.166666,5,0,1,0,0,2500,0,32778,0.0118165,29.5411563
0,23.333334,7,1,0,0,0,2000,0,21000,0.1522686,304.5371473
1,29.166666,36,2,0,0,0,1916.666667,0,12516.66699,0.0356591,68.3466457
0,35.6666679,108,3,2,0,0,3200,0,9600,0.128038,409.7216606
0,27,20,0,0,0,1,1833.333333,0,22000,0.0005455,1
0,44.8333321,39,0,0,0,1,1495.833333,0,17950,0.1127738,168.6908402
0,26.75,2,0,0,0,0,1916.666667,0,35000,0.1181043,226.3665491
0,27.75,28,4,0,0,1,3583.333333,0,9200,0.1057439,378.9156949
0,26.25,7,0,0,0,1,2500,0,30000,0.124375,310.9375015
0,23.333334,8,0,0,0,0,2154.166667,0,25850,0.0250576,53.9783327
0,29.916666,7,1,0,0,0,1258.333333,0,7550,0.0512583,64.4999987
0,30.083334,48,3,0,0,1,3075,0,9225,0.0264314,81.2766706
0,19.833334,6,0,0,0,0,83.3333333,0,1300,0.3200308,26.6692316
0,25.25,8,0,0,0,1,2291.666667,0,27500,0.0508796,116.5991719
0,38.4166679,45,7,0,0,1,5083.333333,0,9125,0.0497634,252.9640831
0,28.666666,14,2,0,0,0,1500,0,8333.333008,0.0226548,33.9821996
0,39.1666679,66,1,0,0,1,4750,0,31000,0.0429766,204.1389169
0,27.75,288,0,0,0,0,4000,0,50800,0.0079362,31.7448825
0,30,60,0,0,0,0,1541.666667,0,18500,0.1075816,165.855002
0,23.666666,18,0,0,0,0,1750,0,29000,0.0725262,126.9208658
0,25.25,18,0,3,1,0,2566.666667,0,30800,0.0209471,53.7641675
0,25.333334,3,0,0,0,0,1416.666667,0,17000,0.0083529,11.8333329
0,27.333334,86,0,0,0,0,2083.333333,0,34600,0.0051246,10.6761804
0,38.3333321,12,0,0,0,0,2166.666667,0,26000,0.0048077,10.4166671
0,25.333334,29,1,0,0,0,1200,0,19165,0.0267428,32.0913121
0,23.166666,6,0,0,0,0,1250,0,20000,0.0858185,107.2731242
0,24.333334,10,1,0,0,0,1500,0,9000,0.0524633,78.6950011
1,32.6666679,72,2,0,0,1,3750,0,25000,0.00016,0.6
0,23.666666,5,0,0,0,0,2279.166667,0,27350,0.2699528,615.2675
0,31.583334,15,2,0,0,1,3250,0,13000,0.0516256,167.7833395
0,25,29,0,0,0,0,1900,0,22800,0.1855772,352.5966778
0,21.5,13,0,0,0,0,1833.333333,0,25000,0.1490152,273.1945391
0,36.5,70,1,0,0,1,1750,0,15582,0.0448774,78.5354935
0,42.75,60,4,0,0,1,5416.666667,0,13000,0.1254689,679.6233418
0,27.416666,48,0,0,1,1,3350,0,40200,0.0606386,203.1391697
1,41.5833321,12,1,0,0,0,3333.333333,0,20000,0.030646,102.1533335
0,29.833334,34,1,0,0,1,2166.666667,0,13000,0.0391869,84.9049954
0,31.166666,49,1,0,0,1,2500,0,27500,0.0246473,61.6181875
0,20.166666,1,1,0,0,0,2500,1,20000,0.1419692,354.9231216
0,46.6666679,36,1,0,0,1,2500,0,15000,0.0851423,212.855842
1,29.5,30,2,0,0,1,2902.5,0,11610,0.0047781,13.868333
1,38.9166679,18,1,0,0,1,5000,0,30000,0.2274368,1137.184203
0,27.333334,3,0,0,0,0,2166.666667,0,26000,0.0058846,12.7499997
0,25.916666,7,0,0,0,1,2500,0,31500,0.1254895,313.7237951
0,23.833334,32,3,0,0,0,1000,0,8500,0.0539329,53.9329387
0,37.5,6,3,0,0,1,3200,0,9600,0.0557565,178.4208417
0,35.0833321,24,2,0,0,1,1333.333333,0,14000,0.0353007,47.0676174
1,45.75,144,2,0,2,1,4166.666667,0,16666.66602,0.0339852,141.6050053
0,60.1666679,42,0,0,0,0,2500,0,30000,0.0022,5.5
0,21.666666,9,2,0,0,0,1367,0,9788,0.0627922,85.8369331
0,66.3333359,120,0,0,1,1,1333.333333,0,36955,0.1566573,208.8763913
0,33,24,1,0,0,1,1458.333333,0,11000,0.0601459,87.7127812
0,41.4166679,75,3,0,0,1,2333.333333,0,8750,0.0935243,218.2233309
0,26.583334,24,3,0,0,0,3000,0,9000,0.0044167,13.2499994
0,23.5,4,0,0,0,0,1750,0,21000,0.071541,125.1966655
0,29.083334,53,1,0,0,1,1500,0,12500,0.009042,13.5630006
0,35.75,107,0,0,1,1,2156.25,0,26075,0.0078378,16.9002027
0,53.8333321,25,0,0,1,1,2500,1,40000,0.0220813,55.2031258
0,65.3333359,22,0,0,0,1,500,1,46890,0.0545496,27.274793
0,30.416666,60,4,0,0,0,2166.666667,0,5200,0.0353412,76.572502
1,59.1666679,192,0,0,0,1,2666.666667,0,32000,0.0029453,7.8541668
0,60.5833321,254,1,0,0,1,6500,0,39000,0.0007179,4.6666666
0,39.75,80,1,0,0,0,1668.333333,0,11010,0.056124,93.6334994
0,20.333334,25,0,0,0,0,1958.333333,0,32000,0.0129672,25.3940745
0,24.25,15,0,0,0,0,1408.333333,0,16900,0.0033136,4.6666666
0,52.5,108,1,0,0,1,1000,0,11000,0.0226932,22.6931814
0,39.4166679,96,0,0,0,1,3333.333333,0,40000,0.038992,129.9733296
0,33.4166679,54,2,0,2,1,4916.666667,0,19666.66602,0.1084347,533.1374922
0,28.083334,24,0,0,0,0,1416.666667,0,20000,0.008741,12.3830843
0,41.0833321,36,0,0,0,1,2500,0,30000,0.0245333,61.3333331
0,30.416666,24,3,1,2,1,2916.666667,1,8750,0.1277,372.4583363
0,34.4166679,12,2,0,0,0,2500,1,15000,0.0649978,162.4944434
0,23.916666,10,0,0,0,0,1473.333333,0,17680,0.0441929,65.1108328
0,44.6666679,51,2,0,0,0,2088.166667,0,16705.33398,0.0035617,7.4375
0,36.25,76,4,0,0,0,2416.666667,0,5800,0.0230128,55.614168
0,20.833334,117,0,0,1,0,1436.916667,0,17243,0.0418141,60.0833344
1,19.583334,46,0,0,0,0,784,0,15408,0.3263376,255.8486829
0,34.6666679,60,3,0,0,0,2000,0,6750,0.0072963,14.5925926
0,41.1666679,78,0,0,0,0,4416.666667,0,53000,0.0571189,252.2750106
0,37.0833321,72,0,1,1,1,2500,0,38400,0.0457474,114.3684983
